time_sec,rad_vel
0,-81.64198663505242
25000,-86.77877618781068
50000,-34.67117770827645
75000,-41.359957594222614
100000,-35.91761883879494
125000,-27.06058919180656
150000,-19.405083435430456
175000,-37.02686183782133
200000,-32.710609987807075
225000,-17.04680884404256
250000,-38.682295413899745
275000,-37.235421422460234
300000,-26.63773127593822
325000,-46.666178319094335
350000,-45.758277026550566
375000,-44.970474174402774
400000,-45.04926443887937
425000,-47.34069567133723
450000,-31.432756796795733
475000,-14.042041862116799
500000,-6.200689313642178
525000,16.953741491647
550000,23.907568843458876
575000,29.408105029957312
600000,64.2135734462354
625000,70.1115978032275
650000,79.40936184973559
675000,95.5314929013592
700000,96.42684136935368
725000,106.29054410582211
750000,91.4275774936403
775000,102.53523127859356
800000,78.45504767453367
825000,76.34191926589497
850000,66.91849289918913
875000,63.73321455753365
900000,55.752244337561756
925000,31.68131395741715
950000,44.28969366758535
975000,41.27159423065421
1000000,49.04970780922889
1025000,24.16269673890333
1050000,27.940000421082534
1075000,38.18259200476652
1100000,66.04179479802471
1125000,56.663581647213064
1150000,47.487002587403424
1175000,56.76810362903663
1200000,62.42205508993124
1225000,50.36999845746193
1250000,58.9044232172282
1275000,43.83221154627221
1300000,23.62394085341121
1325000,1.181679246884734
1350000,1.9965041071482537
1375000,-35.08280043594678
1400000,-44.339220561197315
1425000,-48.69939212650186
1450000,-81.38877005795908
1475000,-66.39651061357347
1500000,-72.21229246940995
1525000,-95.24302151392122
1550000,-95.6424345784288
1575000,-69.4623004273723
1600000,-68.74013947922069
1625000,-74.8229640294392
1650000,-81.2311179065874
1675000,-65.55150635276729
1700000,-74.53518023220144
1725000,-37.22010434870188
1750000,-41.172367066593765
1775000,-50.992979860202894
1800000,-34.1597980954831
1825000,-33.87736737630942
1850000,-37.41041572448339
1875000,-43.13903353186585
1900000,-42.228287099759626
1925000,-73.45971475396553
1950000,-69.91310787960391
1975000,-58.14396385493357
2000000,-70.42833777957858
2025000,-63.33373816430608
2050000,-58.83776538887351
2075000,-82.60265598609935
2100000,-67.44712037640866
2125000,-50.513711093783634
2150000,-14.459359029662092
2175000,-18.702353852451253
2200000,19.7399984156633
2225000,25.063213596084317
2250000,48.599116654146236
2275000,49.41154030252628
2300000,47.996491321571014
2325000,73.40199430338025
2350000,89.30456898846028
2375000,97.58129920638643
2400000,83.69948237944767
2425000,86.16273218820712
2450000,85.48502182261201
2475000,59.18352752566069
2500000,51.696323148590245
2525000,60.47709727367552
2550000,34.10904438712524
2575000,33.28760651224315
2600000,28.594205939744576
2625000,49.99582656587263
2650000,36.492647845470294
2675000,61.37493775899568
2700000,27.989932309610722
2725000,46.957031205143835
2750000,53.306931822314034
2775000,76.58438632883131
2800000,68.59737262621154
2825000,88.03043838117154
2850000,72.63448857199971
2875000,77.49139991828906
2900000,76.43530968650674
2925000,73.7070963875573
2950000,53.067055061120264
2975000,38.77491161598576
3000000,13.747680809196034
3025000,6.360357587608009
3050000,-1.6306085485822628
3075000,-30.524379117890984
3100000,-25.39280581948615
3125000,-63.319556058539185
3150000,-60.25826682728087
3175000,-70.72888730605737
3200000,-46.2009696757034
3225000,-81.99308834253584
3250000,-62.100166591402875
3275000,-78.6210914565682
3300000,-63.738002701788005
3325000,-59.75248954680212
3350000,-60.639676916383266
3375000,-56.53332017171174
3400000,-42.52354710648468
3425000,-28.039219941713377
3450000,-35.24091812209725
3475000,-43.07540628365103
3500000,-51.465962307475934
3525000,-46.94625203736757
3550000,-57.98066251983714
3575000,-49.92079828663884
3600000,-53.072936441728544
3625000,-76.31926567443172
3650000,-77.79010125049115
3675000,-85.52002264389809
3700000,-90.63884467791684
3725000,-66.58351195637546
3750000,-68.17863379249286
3775000,-57.79457191848762
3800000,-49.720574601922884
3825000,-16.94309383643024
3850000,-11.567072447595184
3875000,-5.898100519172901
3900000,27.45814751644918
3925000,30.89544157895981
3950000,35.21279773237776
3975000,42.15373119395125
4000000,72.18935217811847
4025000,54.17834960588328
4050000,58.30520947896177
4075000,59.33028224996813
4100000,44.065595834597225
4125000,59.474812909488286
4150000,56.53941933744813
4175000,53.22475665006676
4200000,52.645730776035215
4225000,43.35317647237553
4250000,40.35024942915777
4275000,36.29279072619631
4300000,35.18584335729622
4325000,35.27113890344732
4350000,55.96559565850953
4375000,59.993955997696006
4400000,62.54091686992501
4425000,89.46281988015606
4450000,85.58255488040555
4475000,83.27999921475146
4500000,95.71291120790524
4525000,81.44929522822518
4550000,96.47602238374016
4575000,88.95428788114187
4600000,65.00638654047336
4625000,65.2788355799307
4650000,30.38229041099175
4675000,32.68014454912915
4700000,10.431867676612896
4725000,15.63021484246524
4750000,-33.43773337987657
4775000,-23.81859743274739
4800000,-41.83474566729605
4825000,-57.131757540350456
4850000,-40.885424096082154
4875000,-67.87984090281965
4900000,-56.950575442454856
4925000,-50.10987981779553
4950000,-45.53630483660746
4975000,-50.40256262544886
5000000,-25.85919195302041
5025000,-32.044218435725796
5050000,-36.98583065338912
5075000,-38.10718444051241
5100000,-48.001441561976165
5125000,-31.319233737004687
5150000,-30.722260046749057
5175000,-61.80975997421416
5200000,-57.046568423900915
5225000,-63.31334437272119
5250000,-85.21750338513974
5275000,-68.63523159540087
5300000,-92.82110409222618
5325000,-72.87865639859729
5350000,-97.99577486473392
5375000,-95.48349617797957
5400000,-78.2464625314071
5425000,-84.1115214024514
5450000,-65.08758852984292
5475000,-56.359524490102125
5500000,-30.556233098157513
5525000,-10.771526229707092
5550000,-13.121581480292942
5575000,11.947244269378182
5600000,33.52482022338454
5625000,19.56962460581746
5650000,37.21977634084799
5675000,49.81541886451002
5700000,45.2234346267803
5725000,46.6556650949102
5750000,49.295824309088026
5775000,41.91822980311952
5800000,45.29713891682616
5825000,14.26921928956206
5850000,36.66388935143604
5875000,34.836920484043496
5900000,42.83568909793003
5925000,35.17165779916552
5950000,28.3771861791433
5975000,44.713429029510664
6000000,45.19226579712434
6025000,59.55510504122287
6050000,61.20253852352622
6075000,66.5736815538833
6100000,95.0283740966989
6125000,101.25954540947252
6150000,108.28093619675653
6175000,104.02463553924335
6200000,77.34019097429933
6225000,92.6680853754919
6250000,100.67349241041426
6275000,86.4341521726347
6300000,70.01287787595236
6325000,49.78542795927711
6350000,31.18317100417174
6375000,31.760707185492432
6400000,-15.202419557472753
6425000,-0.689864717092858
6450000,-24.759907749059682
6475000,-20.994929198037614
6500000,-18.65325559898785
6525000,-39.46281054352509
6550000,-33.973080839473305
6575000,-30.106505746177223
6600000,-43.356233466307444
6625000,-17.0980370077113
6650000,-16.202689382777894
6675000,-21.014990370145618
6700000,-22.87286526846402
6725000,-30.33364338265278
6750000,-46.63899027105332
6775000,-27.22068983673477
6800000,-34.84960747929438
6825000,-57.00550206030837
6850000,-72.85925290552744
6875000,-79.2387546134974
6900000,-87.13148714154005
6925000,-78.8947661383782
6950000,-97.39219592924069
6975000,-95.61411572455496
7000000,-134.03797780219702
7025000,-122.9127395784477
7050000,-92.64005197156658
7075000,-96.91596514740431
7100000,-74.59865391839851
7125000,-61.752317379796324
7150000,-52.62321810052866
7175000,-44.11528087964428
7200000,-25.84477272580529
7225000,-25.4046766545244
7250000,-0.4791765006504155
7275000,12.849340890391854
7300000,8.648408355986248
7325000,26.807926879284427
7350000,18.993983872067574
7375000,34.970816192606556
7400000,28.616694879416706
7425000,38.664794403331896
